#Biotype
#   PSSD  - processed pseudogene
#   DUP    - duplicated pseudogene
#   FRAG  - ambiguous pseudogene
#
#Activity features
#    Tnx - transcription
#    Pol2 - polymerase 2 binding sites
#    AC - active chromatin
#    TF - transcription factor binding sites
#
#Activity test result:
#    0 - no activity feature
#    1 - the activity feature is present
#
#
#Pseudogene_id		Biotype	Parent_gene		Parent_transcript	Activity_features
ENST00000438127.1	PSSD	ENSG00000177954.7	ENST00000368567.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000487352.1	PSSD	ENSG00000174748.11	ENST00000307839.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428627.1	PSSD	ENSG00000115762.12	ENST00000303908.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404930.1	PSSD	ENSG00000159259.4	ENST00000314103.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430932.1	PSSD	ENSG00000008018.7	ENST00000392093.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000344638.4	DUP	ENSG00000184276.2	ENST00000328698.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000511039.1	DUP	ENSG00000115762.12	ENST00000404460.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000456360.1	DUP	ENSG00000234414.3	ENST00000382707.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000443068.1	DUP	.	.	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000402519.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000429248.1	DUP	ENSG00000234444.3	ENST00000423484.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000463873.1	PSSD	ENSG00000241186.2	ENST00000296145.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000509899.1	PSSD	ENSG00000111203.6	ENST00000419778.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000455434.1	PSSD	ENSG00000071082.5	ENST00000409711.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517737.1	IG_V_pseudogene	ENSG00000223648.2	ENST00000454421.2	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000492727.1	PSSD	ENSG00000167996.10	ENST00000273550.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000523025.1	PSSD	ENSG00000105640.6	ENST00000222247.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435623.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000520143.1	IG_V_pseudogene	ENSG00000211949.2	ENST00000390609.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000538792.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000427242.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000398578.2	PSSD	ENSG00000058673.10	ENST00000332127.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000451645.1	PSSD	ENSG00000158773.10	ENST00000368021.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000463176.1	PSSD	ENSG00000100410.3	ENST00000216252.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000493351.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000515046.2	DUP	ENSG00000033011.4	ENST00000262374.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000496042.1	PSSD	ENSG00000162244.5	ENST00000466397.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000525966.1	PSSD	ENSG00000185787.9	ENST00000426013.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503812.1	PSSD	ENSG00000082068.4	ENST00000504564.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000533593.1	DUP	ENSG00000138792.5	ENST00000265162.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000528537.1	PSSD	ENSG00000131808.6	ENST00000417547.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526965.1	DUP	ENSG00000172154.2	ENST00000302124.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412173.1	DUP	ENSG00000124260.6	ENST00000244096.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000393644.3	DUP	.	.	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000492855.1	PSSD	ENSG00000142541.10	ENST00000391857.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505723.1	PSSD	ENSG00000111196.5	ENST00000320756.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000542812.1	PSSD	ENSG00000197345.6	ENST00000450904.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000359239.3	PSSD	ENSG00000153487.11	ENST00000338450.7	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000532139.1	PSSD	ENSG00000114023.10	ENST00000477892.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000447449.1	PSSD	ENSG00000089289.11	ENST00000342206.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000469473.1	PSSD	ENSG00000138326.12	ENST00000440692.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000393368.2	PSSD	ENSG00000029993.10	ENST00000325307.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442165.1	PSSD	ENSG00000064309.10	ENST00000531738.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505629.1	PSSD	ENSG00000105835.7	ENST00000222553.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000507234.1	PSSD	ENSG00000146731.5	ENST00000275603.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000438944.1	PSSD	ENSG00000184009.2	ENST00000331925.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000455863.1	DUP	ENSG00000251546.1	ENST00000448155.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000519497.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000468034.1	PSSD	ENSG00000131469.7	ENST00000253788.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000435744.1	DUP	ENSG00000180777.8	ENST00000447268.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000448649.1	PSSD	ENSG00000107371.7	ENST00000327304.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000528848.1	PSSD	ENSG00000101266.10	ENST00000400227.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000439309.1	PSSD	ENSG00000154582.11	ENST00000518127.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000539832.1	PSSD	ENSG00000139364.6	ENST00000299308.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424565.1	PSSD	ENSG00000197958.8	ENST00000361436.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000433839.1	PSSD	ENSG00000108298.4	ENST00000225430.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000512475.1	PSSD	ENSG00000171530.8	ENST00000306388.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000414608.1	DUP	ENSG00000077809.7	ENST00000324896.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000506872.1	PSSD	ENSG00000166211.5	ENST00000299272.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000405166.1	PSSD	ENSG00000213366.5	ENST00000241337.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000489409.1	DUP	ENSG00000154832.8	ENST00000285106.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000419363.1	PSSD	ENSG00000140718.12	ENST00000471389.1	Tnx_1:Pol2_1:AC_1:TF_1
ENST00000437262.1	PSSD	ENSG00000197111.6	ENST00000359462.4	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000413990.1	PSSD	ENSG00000118985.9	ENST00000237853.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000405810.2	PSSD	ENSG00000125691.7	ENST00000479035.1	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000416320.1	PSSD	ENSG00000136758.12	ENST00000326799.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000530815.1	DUP	ENSG00000185926.1	ENST00000328188.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430144.1	DUP	ENSG00000164776.5	ENST00000297373.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000490943.1	PSSD	ENSG00000134308.8	ENST00000381844.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000403475.2	PSSD	ENSG00000111640.8	ENST00000229239.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000401937.2	PSSD	ENSG00000105640.6	ENST00000420197.2	Tnx_0:Pol2_1:AC_0:TF_0
ENST00000378775.3	PSSD	ENSG00000138495.2	ENST00000261070.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000414775.1	DUP	ENSG00000068078.12	ENST00000340107.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000515281.1	PSSD	ENSG00000111640.8	ENST00000229239.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000512892.1	PSSD	ENSG00000135220.6	ENST00000251566.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000463867.1	PSSD	ENSG00000197728.4	ENST00000356464.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000481963.1	PSSD	ENSG00000148303.12	ENST00000323345.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000373465.2	PSSD	ENSG00000132792.14	ENST00000405275.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000437794.1	DUP	ENSG00000123595.5	ENST00000464506.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000507289.1	DUP	ENSG00000157087.11	ENST00000397077.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000456647.1	PSSD	ENSG00000162244.5	ENST00000466397.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000411440.1	DUP	ENSG00000170835.9	ENST00000351304.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000469465.1	PSSD	ENSG00000198242.7	ENST00000394935.3	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000527233.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000529817.1	DUP	ENSG00000182156.4	ENST00000328313.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000402760.2	PSSD	ENSG00000064419.9	ENST00000471234.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442391.1	DUP	ENSG00000114374.8	ENST00000338981.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000502488.1	PSSD	ENSG00000129195.8	ENST00000308855.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000456455.1	DUP	ENSG00000165583.9	ENST00000311798.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000504970.1	DUP	ENSG00000196266.4	ENST00000332217.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438155.2	PSSD	ENSG00000147669.6	ENST00000353107.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000447254.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000490372.1	PSSD	ENSG00000241343.2	ENST00000427805.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000463099.1	DUP	ENSG00000023839.6	ENST00000370449.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000458481.1	PSSD	ENSG00000132661.3	ENST00000254998.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000514266.1	PSSD	ENSG00000214595.6	ENST00000356458.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000445744.3	DUP	ENSG00000197822.6	ENST00000355237.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414105.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000417487.1	PSSD	ENSG00000115539.9	ENST00000264254.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441609.1	PSSD	ENSG00000170421.5	ENST00000293308.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414265.1	PSSD	ENSG00000077549.11	ENST00000264203.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441772.1	PSSD	ENSG00000075624.8	ENST00000331789.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000468780.1	PSSD	ENSG00000125691.7	ENST00000479035.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000522986.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000436229.1	PSSD	ENSG00000198242.7	ENST00000422514.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438361.1	PSSD	ENSG00000181061.9	ENST00000452906.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000436075.1	PSSD	ENSG00000111057.5	ENST00000388835.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000456494.1	PSSD	ENSG00000185247.10	ENST00000333104.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000514144.1	DUP	ENSG00000170920.2	ENST00000305444.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404618.2	DUP	ENSG00000227345.3	ENST00000432127.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404779.1	PSSD	ENSG00000148925.5	ENST00000278174.5	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000406908.1	PSSD	ENSG00000137309.14	ENST00000395004.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000425846.1	PSSD	ENSG00000143363.10	ENST00000271620.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000491923.1	PSSD	ENSG00000163682.10	ENST00000295955.9	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517560.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000502633.1	DUP	ENSG00000109181.7	ENST00000458688.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000442005.1	PSSD	ENSG00000109519.7	ENST00000264954.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000398779.2	PSSD	ENSG00000168876.4	ENST00000302755.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454426.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000486999.1	PSSD	ENSG00000138326.12	ENST00000440692.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000488396.1	PSSD	ENSG00000147604.9	ENST00000396467.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526649.1	PSSD	ENSG00000151725.6	ENST00000281453.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000469891.2	PSSD	ENSG00000118181.4	ENST00000527673.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404612.1	PSSD	ENSG00000183598.3	ENST00000331491.1	Tnx_0:Pol2_1:AC_1:TF_0
ENST00000469928.1	PSSD	ENSG00000185088.7	ENST00000439025.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000530034.1	PSSD	ENSG00000089048.9	ENST00000541185.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423775.1	DUP	ENSG00000135047.9	ENST00000342020.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000423387.1	PSSD	ENSG00000060762.13	ENST00000360961.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000412737.1	PSSD	ENSG00000123595.5	ENST00000464506.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000406574.1	PSSD	ENSG00000113569.10	ENST00000513532.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442908.1	PSSD	ENSG00000237521.1	ENST00000456448.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000455449.1	PSSD	ENSG00000087086.7	ENST00000331825.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000417646.1	PSSD	ENSG00000109381.13	ENST00000394235.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000454982.1	PSSD	ENSG00000176171.7	ENST00000540159.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000468432.1	PSSD	ENSG00000122696.8	ENST00000242275.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000538389.1	PSSD	ENSG00000125534.4	ENST00000370179.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000491371.1	DUP	ENSG00000163515.6	ENST00000295755.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000432048.1	PSSD	ENSG00000067064.6	ENST00000381344.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505994.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428234.1	PSSD	ENSG00000108312.10	ENST00000302904.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000510932.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000419782.2	DUP	ENSG00000214929.2	ENST00000344803.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000407916.2	PSSD	ENSG00000100852.7	ENST00000345122.3	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000507547.1	PSSD	ENSG00000171345.8	ENST00000361566.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503949.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000429118.1	PSSD	ENSG00000128050.4	ENST00000514888.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511668.1	PSSD	ENSG00000105993.8	ENST00000262177.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000434327.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000406139.1	PSSD	ENSG00000160973.6	ENST00000377317.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428250.1	DUP	.	.	Tnx_0:Pol2_1:AC_0:TF_1
ENST00000533838.1	DUP	ENSG00000144015.4	ENST00000272395.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000523880.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426241.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000455252.1	PSSD	ENSG00000125691.7	ENST00000479035.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457298.1	DUP	ENSG00000204687.3	ENST00000377127.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505161.1	PSSD	ENSG00000095627.5	ENST00000251864.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000465875.1	PSSD	ENSG00000171863.8	ENST00000304921.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000427702.1	PSSD	ENSG00000123091.4	ENST00000242719.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000534639.1	PSSD	ENSG00000165119.11	ENST00000376258.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000488429.1	unitary_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000412164.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441207.1	PSSD	ENSG00000165775.13	ENST00000369498.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505622.1	PSSD	ENSG00000171314.6	ENST00000334828.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000415595.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000485817.1	PSSD	ENSG00000105993.8	ENST00000262177.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428076.1	PSSD	ENSG00000147382.13	ENST00000370175.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442321.1	PSSD	ENSG00000172288.6	ENST00000306609.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000415681.1	PSSD	ENSG00000181163.9	ENST00000296930.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000452761.1	PSSD	ENSG00000119574.7	ENST00000354590.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000449312.1	unitary_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000472975.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000461049.1	PSSD	ENSG00000183955.8	ENST00000402868.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414044.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000415263.1	PSSD	ENSG00000086589.7	ENST00000199814.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000417020.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000422246.1	PSSD	ENSG00000144713.8	ENST00000429711.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000490933.1	PSSD	ENSG00000163444.7	ENST00000367242.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000533936.1	DUP	ENSG00000140105.10	ENST00000392882.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435270.1	PSSD	ENSG00000106853.11	ENST00000538962.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000426943.1	DUP	ENSG00000125304.6	ENST00000376387.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000455014.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000504077.1	PSSD	ENSG00000183169.5	ENST00000402027.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000424609.1	PSSD	ENSG00000173660.7	ENST00000311672.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000529497.1	PSSD	ENSG00000232948.1	ENST00000400079.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000265259.4	PSSD	ENSG00000114021.6	ENST00000394140.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000479921.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457642.1	PSSD	ENSG00000205581.6	ENST00000380747.1	Tnx_0:Pol2_1:AC_1:TF_0
ENST00000433276.1	PSSD	ENSG00000165583.9	ENST00000403001.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000486001.1	PSSD	ENSG00000075624.8	ENST00000331789.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000448881.1	DUP	ENSG00000234414.3	ENST00000382707.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000509725.1	PSSD	ENSG00000149823.3	ENST00000279281.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000420734.1	PSSD	ENSG00000126261.5	ENST00000439527.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000448647.1	PSSD	ENSG00000106615.5	ENST00000262187.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423821.2	DUP	ENSG00000211645.2	ENST00000390291.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413323.1	DUP	ENSG00000136206.3	ENST00000258704.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000523713.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000512118.1	PSSD	ENSG00000134901.7	ENST00000376004.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000520330.1	PSSD	ENSG00000124562.5	ENST00000374017.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000422362.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000404701.1	PSSD	ENSG00000114354.7	ENST00000240851.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000422468.1	DUP	ENSG00000144015.4	ENST00000272395.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000416201.1	PSSD	ENSG00000134109.5	ENST00000256497.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000500401.2	PSSD	ENSG00000118363.7	ENST00000263672.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000512179.1	PSSD	ENSG00000181867.1	ENST00000321339.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000504991.1	PSSD	ENSG00000205581.6	ENST00000361263.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000533869.1	PSSD	ENSG00000196661.3	ENST00000354597.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430618.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000433223.1	PSSD	ENSG00000152234.7	ENST00000542290.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000489027.1	PSSD	ENSG00000163682.10	ENST00000449470.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000474462.1	PSSD	ENSG00000148303.12	ENST00000323345.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000538774.1	PSSD	ENSG00000241468.3	ENST00000394186.3	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000479327.1	PSSD	ENSG00000008988.5	ENST00000519807.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412619.1	PSSD	ENSG00000112306.7	ENST00000230050.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423265.1	PSSD	ENSG00000214788.1	ENST00000398992.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000455206.1	PSSD	ENSG00000233927.2	ENST00000449223.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000467115.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000530447.1	PSSD	ENSG00000249104.1	ENST00000511568.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000437653.1	PSSD	ENSG00000184009.2	ENST00000331925.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000419682.1	PSSD	ENSG00000182004.8	ENST00000414487.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517564.1	PSSD	ENSG00000070729.8	ENST00000251102.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000312058.2	PSSD	ENSG00000255582.1	ENST00000542433.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000521692.1	IG_V_pseudogene	ENSG00000211632.2	ENST00000390277.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000487963.1	PSSD	ENSG00000144713.8	ENST00000273223.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000534696.1	PSSD	ENSG00000198315.5	ENST00000330236.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000395519.2	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000528817.1	PSSD	ENSG00000186146.1	ENST00000334879.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000445872.1	PSSD	ENSG00000075975.11	ENST00000170447.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511513.1	PSSD	ENSG00000138092.6	ENST00000473706.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000513885.1	PSSD	ENSG00000156253.2	ENST00000493196.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000432914.1	PSSD	ENSG00000215472.3	ENST00000418495.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000507819.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414673.1	DUP	ENSG00000186832.3	ENST00000301653.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442927.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000491897.1	DUP	ENSG00000163486.7	ENST00000414359.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000512203.1	DUP	ENSG00000104756.10	ENST00000221200.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000465295.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000511236.1	PSSD	ENSG00000168876.4	ENST00000544253.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000416914.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424704.1	PSSD	ENSG00000187145.10	ENST00000369084.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000417406.1	PSSD	ENSG00000100387.8	ENST00000216225.8	Tnx_0:Pol2_0:AC_1:TF_0
